time,core1,core2,core3,core4
 000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,001110,000486,003097,000651
000006,012122,006204,009591,006063
000007,007063,071893,017472,089702
000008,082458,032119,079252,018852
000009,000875,003528,001482,000860
000010,001810,001311,002866,000503
000011,077957,055801,090891,051645
000012,835599,331444,809406,383510
000013,143065,158766,116821,102966
000014,102102,166539,118874,942911
000015,396210,4311501,541506,4645435
000016,3980964,2736064,4876135,1984422
000017,1086417,535593,829811,342281
000018,057034,341740,154874,166474
000019,103267,201155,196561,106512
000020,285601,198543,174318,139246
000021,081773,138881,090287,113485
000022,044521,142054,129523,137626
000023,072712,301732,128688,307046
000024,147987,137179,586730,301816
000025,288884,032285,188396,069293
000026,214513,006896,139140,050107
000027,174377,005402,170850,024668
000028,154159,038633,113394,004222
000029,171687,023212,060420,001315
000030,156602,002148,046761,000851
000031,277857,001155,102162,000701
000032,156129,001347,058968,000562
000033,072004,001806,061537,000616
000034,033509,001755,050918,000629
000035,048907,002881,019359,000479
000036,071186,002654,011620,000323
000037,027907,000844,005455,001556
000038,042338,001495,007263,001268
000039,051897,001479,003098,000545
000040,119536,000704,000884,000099
000041,102091,000839,000419,000074
000042,099488,000580,000288,000065
000043,037922,000237,000198,000060
000044,026629,000323,000138,000043
000045,030199,000270,000098,000051
000046,012950,000167,000095,000041
000047,014914,000086,000061,000029
000048,023076,000053,000043,000029
000049,011486,000036,000020,000017
000050,010140,000023,000016,000024
000051,010691,000018,000009,000015
000052,006162,000021,000007,000015
000053,005413,000010,000008,000005
000054,006856,000011,000004,000006
000055,004137,000007,000001,000000
000056,002171,000002,000002,000005
000057,000787,000001,000000,000005
000058,000676,000002,000002,000000
000059,000629,000001,000000,000000
000060,000723,000001,000003,000000
000061,000392,000002,000000,000000
000062,000590,000000,000000,000000
000063,001898,000000,000000,000000
000064,003063,000001,000000,000000
000065,000464,000000,000001,000000
000066,000908,000000,000001,000000
000067,002598,000000,000000,000000
000068,000334,000000,000000,000000
000069,000087,000000,000000,000000
000070,000063,000000,000000,000000
000071,000044,000000,000000,000000
000072,000049,000000,000000,000000
000073,000037,000000,000000,000000
000074,000033,000000,000000,000000
000075,000035,000000,000000,000000
000076,000031,000000,000000,000000
000077,000014,000000,000000,000000
000078,000016,000000,000000,000000
000079,000010,000000,000000,000000
000080,000015,000000,000000,000000
000081,000008,000000,000000,000000
000082,000013,000000,000000,000000
000083,000005,000000,000000,000000
000084,000004,000000,000000,000000
000085,000001,000000,000000,000000
000086,000002,000000,000000,000000
000087,000001,000000,000000,000000
000088,000003,000000,000000,000000
000089,000000,000000,000000,000000
000090,000000,000000,000000,000000
000091,000000,000000,000000,000000
000092,000001,000000,000000,000000
000093,000000,000000,000000,000000
000094,000000,000000,000000,000000
000095,000001,000000,000000,000000
000096,000000,000000,000000,000000
000097,000000,000000,000000,000000
000098,000000,000000,000000,000000
000099,000000,000000,000000,000000
000100,000001,000000,000000,000000
000101,000000,000000,000000,000000
000102,000000,000000,000000,000000
000103,000000,000000,000000,000000
000104,000000,000000,000000,000000
000105,000000,000000,000000,000000
000106,000000,000000,000000,000000
000107,000000,000000,000000,000000
000108,000000,000000,000000,000000
000109,000000,000000,000000,000000
000110,000000,000000,000000,000000
000111,000000,000000,000000,000000
000112,000000,000000,000000,000000
000113,000000,000000,000000,000000
000114,000000,000000,000000,000000
000115,000000,000000,000000,000000
000116,000000,000000,000000,000000
000117,000000,000000,000000,000000
000118,000000,000000,000000,000000
000119,000000,000000,000000,000000
000120,000000,000000,000000,000000
000121,000000,000000,000000,000000
000122,000000,000000,000000,000000
000123,000000,000000,000000,000000
000124,000000,000000,000000,000000
000125,000000,000000,000000,000000
000126,000000,000000,000000,000000
000127,000000,000000,000000,000000
000128,000000,000000,000000,000000
000129,000000,000000,000000,000000
000130,000000,000000,000000,000000
000131,000000,000000,000000,000000
000132,000000,000000,000000,000000
000133,000000,000000,000000,000000
000134,000000,000000,000000,000000
000135,000000,000000,000000,000000
000136,000000,000000,000000,000000
000137,000000,000000,000000,000000
000138,000000,000000,000000,000000
000139,000000,000000,000000,000000
000140,000000,000000,000000,000000
000141,000000,000000,000000,000000
000142,000000,000000,000000,000000
000143,000000,000000,000000,000000
000144,000000,000000,000000,000000
000145,000000,000000,000000,000000
000146,000000,000000,000000,000000
000147,000000,000000,000000,000000
000148,000000,000000,000000,000000
000149,000000,000000,000000,000000
000150,000000,000000,000000,000000
000151,000000,000000,000000,000000
000152,000000,000000,000000,000000
000153,000000,000000,000000,000000
000154,000000,000000,000000,000000
000155,000000,000000,000000,000000
000156,000000,000000,000000,000000
000157,000000,000000,000000,000000
000158,000000,000000,000000,000000
000159,000000,000000,000000,000000
000160,000000,000000,000000,000000
000161,000000,000000,000000,000000
000162,000000,000000,000000,000000
000163,000000,000000,000000,000000
000164,000000,000000,000000,000000
000165,000000,000000,000000,000000
000166,000000,000000,000000,000000
000167,000000,000000,000000,000000
000168,000000,000000,000000,000000
000169,000000,000000,000000,000000
