time,core1,core2,core3,core4
 000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000391,000044,000339,000143
000006,002672,001346,000055,002270
000007,000439,002129,003121,001110
000008,000004,000002,000008,000000
000009,004098,000009,000000,000002
000010,1817965,000697,800673,001076
000011,1847548,036094,1554183,026420
000012,1187078,075136,000934,000958
000013,27009553,25428764,1719841,13587554
000014,13505516,22108741,44890727,35380040
000015,1709953,2163968,997448,886626
000016,803412,178398,026178,039492
000017,406924,002541,000953,000625
000018,760715,000475,000682,000756
000019,231226,000614,000435,000765
000020,057901,000202,000111,057267
000021,224803,000135,002269,013714
000022,033144,000090,000995,000289
000023,030424,000070,000171,000104
000024,019983,000046,000099,000078
000025,037790,000037,000064,000055
000026,087381,000033,000040,000031
000027,074693,000035,000024,000020
000028,026838,000041,000038,000027
000029,012483,000030,000023,000031
000030,006556,000030,000028,000029
000031,006797,000017,000033,000014
000032,010572,000014,000024,000016
000033,008626,000016,000020,000016
000034,015673,000008,000023,000017
000035,008534,000017,000021,000021
000036,004357,000006,000025,000012
000037,005542,000017,000012,000016
000038,005516,000021,000014,000017
000039,005119,000015,000013,000008
000040,007057,000011,000016,000021
000041,004702,000011,000012,000009
000042,002718,000008,000015,000013
000043,003401,000014,000026,000011
000044,002025,000008,000022,000020
000045,001913,000008,000023,000011
000046,002043,000008,000012,000011
000047,001955,000008,000014,000009
000048,001031,000006,000017,000009
000049,000677,000007,000012,000018
000050,000381,000008,000022,000008
000051,000233,000006,000015,000009
000052,000239,000002,000002,000005
000053,000145,000003,000003,000003
000054,000129,000001,000004,000006
000055,000092,000001,000003,000002
000056,000091,000000,000004,000000
000057,000107,000000,000000,000001
000058,000094,000003,000002,000003
000059,000079,000001,000002,000003
000060,000063,000001,000001,000001
000061,000040,000000,000000,000000
000062,000034,000002,000002,000001
000063,000028,000001,000004,000001
000064,000027,000000,000003,000001
000065,000016,000001,000001,000000
000066,000019,000001,000000,000002
000067,000012,000002,000001,000003
000068,000014,000000,000001,000000
000069,000014,000001,000001,000000
000070,000015,000000,000001,000001
000071,000016,000001,000002,000000
000072,000017,000001,000003,000001
000073,000021,000001,000000,000001
000074,000017,000001,000002,000001
000075,000016,000000,000001,000000
000076,000010,000001,000001,000000
000077,000011,000000,000002,000000
000078,000006,000000,000004,000000
000079,000009,000001,000001,000001
000080,000007,000000,000003,000000
000081,000010,000000,000000,000000
000082,000009,000000,000000,000001
000083,000009,000000,000002,000000
000084,000007,000001,000001,000000
000085,000004,000001,000001,000000
000086,000007,000001,000000,000000
000087,000004,000000,000001,000000
000088,000004,000000,000000,000001
000089,000004,000001,000001,000000
000090,000004,000000,000002,000002
000091,000007,000000,000000,000000
000092,000004,000000,000000,000000
000093,000003,000001,000000,000000
000094,000002,000000,000001,000000
000095,000002,000000,000000,000000
000096,000004,000002,000000,000001
000097,000001,000000,000000,000001
000098,000002,000000,000001,000000
000099,000003,000000,000002,000000
000100,000003,000001,000000,000000
000101,000004,000001,000000,000001
000102,000002,000000,000001,000000
000103,000003,000000,000000,000001
000104,000003,000000,000001,000000
000105,000002,000002,000001,000000
000106,000005,000000,000000,000000
000107,000002,000000,000000,000000
000108,000006,000000,000000,000000
000109,000010,000000,000000,000000
000110,000007,000000,000000,000000
000111,000005,000000,000001,000000
000112,000019,000001,000000,000000
000113,000009,000000,000000,000000
000114,000002,000000,000000,000000
000115,000010,000000,000001,000000
000116,000005,000000,000000,000000
000117,000005,000001,000000,000000
000118,000006,000000,000000,000000
000119,000003,000001,000000,000000
000120,000000,000000,000000,000000
000121,000002,000000,000000,000000
000122,000004,000001,000000,000000
000123,000001,000000,000000,000000
000124,000003,000000,000000,000000
000125,000004,000000,000001,000000
000126,000001,000000,000000,000000
000127,000000,000000,000000,000001
000128,000003,000000,000000,000000
000129,000002,000001,000000,000000
000130,000001,000000,000000,000000
000131,000001,000001,000000,000000
000132,000001,000000,000000,000000
000133,000000,000000,000000,000000
000134,000001,000000,000000,000000
000135,000001,000000,000000,000000
000136,000001,000000,000000,000000
000137,000000,000000,000000,000000
000138,000000,000000,000000,000000
000139,000000,000000,000000,000000
000140,000000,000000,000000,000000
000141,000003,000000,000000,000000
000142,000000,000000,000000,000000
000143,000002,000000,000000,000000
000144,000000,000000,000000,000000
000145,000001,000000,000000,000000
000146,000001,000000,000000,000001
000147,000001,000000,000000,000000
000148,000002,000000,000000,000000
000149,000000,000000,000000,000000
000150,000002,000000,000000,000000
000151,000001,000000,000000,000000
000152,000000,000000,000000,000000
000153,000001,000000,000000,000000
000154,000000,000000,000000,000000
000155,000001,000000,000000,000000
000156,000001,000001,000000,000000
000157,000000,000000,000000,000000
000158,000000,000000,000000,000000
000159,000000,000000,000000,000000
000160,000003,000000,000000,000000
000161,000000,000000,000000,000000
000162,000001,000000,000000,000001
000163,000000,000000,000000,000000
000164,000000,000000,000000,000000
000165,000000,000000,000000,000000
000166,000000,000000,000000,000000
000167,000000,000000,000000,000000
000168,000000,000000,000000,000000
000169,000000,000000,000000,000000
